|                mjd | Nobs |         w1_vegamag |         w2_vegamag |           w1_abmag |           w2_abmag |              w1_flux_Jy |              w2_flux_Jy |         w1_flux_Jy_err |         w2_flux_Jy_err |          w1_mag_err |          w2_mag_err |
|      56776.9873114 |   16 |                0.0 |  19.24688563383686 |                0.0 |  22.55945413782375 |  -7.110700958656206e-07 |   3.437307177113519e-06 |   7.38946139168101e-06 |  1.423580783415605e-05 |                 0.0 |   4.496639716239181 |
|     56956.39682406 |   17 | 21.588359347173366 |                0.0 | 24.261707713783018 |                0.0 |   7.166661869426613e-07 | -3.3799657098506683e-06 |  7.418373815705233e-06 | 1.4116757696847947e-05 |  11.238701056207772 |                 0.0 |
|     57138.88487083 |   15 |                0.0 | 19.411511540882895 |                0.0 | 22.724080044869783 | -1.0616007502161893e-05 |  2.9537108754060184e-06 |  8.355446619572372e-06 | 1.3951164011322365e-05 |                 0.0 |   5.128221584493842 |
|     57317.67762343 |   31 | 16.615615181233224 | 15.862900132766068 | 19.288963547842876 | 19.175468636752957 |   6.988992603591472e-05 |   7.759121370736921e-05 |  5.992197177364765e-06 | 1.0518127276866867e-05 | 0.09308845767229956 | 0.14718047373015622 |
|     57503.02581714 |   14 |  16.31956291892256 | 15.700411858473746 | 18.992911285532212 | 19.012980362460635 |   9.179847906530582e-05 |   9.011723435542408e-05 |  8.649154786398777e-06 | 1.5189966131924852e-05 | 0.10229690717936224 | 0.18300934661881302 |
|     57677.34347031 |   17 | 16.441538256900508 | 15.371445177906043 |  19.11488662351016 |  18.68401368189293 |   8.204372128692263e-05 |  0.00012200974718900833 |  8.349001869875849e-06 | 1.4536992465098139e-05 | 0.11048759687552613 |  0.1293612960545096 |
|     57870.20494817 |   13 | 16.423332162646204 | 15.770391054628416 | 19.096680529255856 | 19.082959558615304 |   8.343106517224524e-05 |   8.449211404296344e-05 |  8.844255942163798e-06 | 1.6831645311889806e-05 | 0.11509536478684321 |  0.2162891402086788 |
|     58037.88878613 |   15 | 16.628534268798816 |  15.33748462808552 | 19.301882635408468 | 18.650053132072408 |   6.906323953253972e-05 |  0.00012588638059646767 |  8.249698765404316e-06 |  1.522782680099487e-05 | 0.12969268005054618 |  0.1313359141734687 |
| 58234.466082729996 |   12 |  17.85345138803654 | 15.944542268160022 |  20.52679975464619 |  19.25711077214691 |  2.2350132294391704e-05 |   7.197069410154161e-05 |   8.93868144006802e-06 | 1.7500581860284132e-05 | 0.43422785755575416 |  0.2640104499094563 |
|     58398.50090714 |   13 | 16.986251682943983 | 15.461664051760987 | 19.659600049553635 | 18.774232555747876 |   4.967752838545148e-05 |  0.00011228118247428523 |    8.7917048978816e-06 | 1.5968134313600603e-05 | 0.19214869618946068 | 0.15440861206362302 |
|    58600.792628065 |   30 | 16.913458401595726 | 15.633907553433872 | 19.586806768205378 |  18.94647605742076 |  5.3122351691722095e-05 |   9.580972133951482e-05 | 5.8246312699191814e-06 | 1.0571734835782156e-05 |  0.1190461801430946 | 0.11980115480805083 |
|     58762.97125854 |   27 | 17.144593959327207 |  16.14756870224897 |  19.81794232593686 |  19.46013720623586 |    4.29361470449471e-05 |   5.969598430385093e-05 |   6.29790002839304e-06 | 1.1797693711808436e-05 | 0.15925644347210427 |  0.2145736157118936 |
|     58965.71955604 |   13 | 18.182908581244973 | 15.739335097505451 | 20.856256947854625 |  19.05190360149234 |  1.6500504422661722e-05 |   8.694378832611752e-05 |  9.319231505464418e-06 | 1.6886064075719506e-05 |  0.6132071351775765 |  0.2108697064602934 |
|    59129.773899055 |   14 |  18.50959576638959 |  16.81075027528767 | 21.182944132999243 |  20.12331877927456 |  1.2212999710383746e-05 |    3.24095117398888e-05 |  8.210815233878225e-06 |  1.597571749767329e-05 |  0.7299418309509699 |  0.5351951928008697 |
|     59329.92170094 |   13 | 17.587769802534176 | 16.965472119756072 | 20.261118169143828 |  20.27804062374296 |  2.8546491062533773e-05 |  2.8105010410817654e-05 |   9.17094277319826e-06 |  1.805255411972554e-05 | 0.34880730450597364 |  0.6973956354984077 |
|    59493.885168145 |   14 |  17.95802910239294 | 16.488101186159277 |  20.63137746900259 | 19.800669690146165 |  2.0297802029964058e-05 |    4.36246669055789e-05 |  8.723757256228044e-06 | 1.5466523552056588e-05 | 0.46663668709675565 | 0.38493278627336963 |
|     59696.89267411 |   12 |   18.4385477505509 | 16.868796670797643 |  21.11189611716055 |  20.18136517478453 |  1.3038917970561262e-05 |  3.0722314459863336e-05 |  9.024445395510484e-06 | 1.7987990984411988e-05 |  0.7514555361027987 |   0.635701229090466 |
|      59860.8682016 |   19 | 18.378912630274492 | 17.745869353210935 | 21.052260996884144 | 21.058437857197823 |   1.377512667391127e-05 |  1.3696981119798654e-05 |  7.674562384578424e-06 | 1.3204406906090093e-05 |   0.604898265828125 |  1.0466906915405778 |
|     60061.15192112 |   13 |                0.0 |                0.0 |                0.0 |                0.0 | -2.1582689958680898e-05 | -2.0937560781175358e-05 |  9.095309361949735e-06 | 1.7776219494745154e-05 |                 0.0 |                 0.0 |
|    60225.157608415 |   14 |   17.9516210091903 | 16.229019032973156 | 20.624969375799953 | 19.541587536960044 |   2.041795534600496e-05 |   5.538153453810888e-05 |  8.894683571196629e-06 | 1.7284059066392256e-05 | 0.47297977782114636 |  0.3388481169774547 |
