|                mjd | Nobs |         w1_vegamag |         w2_vegamag |           w1_abmag |           w2_abmag |              w1_flux_Jy |              w2_flux_Jy |         w1_flux_Jy_err |         w2_flux_Jy_err |           w1_mag_err |            w2_mag_err |
| 56712.584208579996 |   12 |  16.48749909548397 |  16.06812015754722 |  19.16084746209362 |  19.38068866153411 |   7.864317075356739e-05 |   6.422802021465976e-05 |   2.07076739907119e-05 | 2.1830223631654488e-05 |   0.2858871425529889 |    0.3690268526982236 |
|     56903.69964731 |   11 |                0.0 |                0.0 |                0.0 |                0.0 | -1.3881474105617183e-05 |  -2.857244682404906e-05 | 2.2848713694123716e-05 |  2.334274496336626e-05 |                  0.0 |                   0.0 |
|     57071.73235705 |    9 |                0.0 |                0.0 |                0.0 |                0.0 | -1.5243895627822131e-05 |  -3.115053683384533e-05 | 2.2706193896328236e-05 |  2.416381798855106e-05 |                  0.0 |                   0.0 |
|     57265.57863759 |   11 | 20.895897122998544 |                0.0 | 23.569245489608196 |                0.0 |   1.356131501098475e-06 |  -9.180983114340258e-06 |  2.082763543907069e-05 |  2.396139735643554e-05 |   16.674871011686992 |                   0.0 |
|    57430.755063965 |   10 | 17.120968745219084 |                0.0 | 19.794317111828736 |                0.0 |   4.388066042260042e-05 |  -7.897161113475897e-06 |  2.222872034660676e-05 | 2.4108628413931664e-05 |   0.5500037199377318 |                   0.0 |
|     57632.58236031 |   11 |                0.0 | 18.993590775398676 |                0.0 | 22.306159279385565 |  -4.352167393097347e-05 |   4.340465296572723e-06 | 2.3184442821522483e-05 |  2.505880037010076e-05 |                  0.0 |     6.268278848147441 |
|     57797.79868714 |    9 |                0.0 |  17.32745335842783 |                0.0 |  20.64002186241472 |  -2.606247500280235e-05 |  2.0136837018625622e-05 | 2.4803026649516256e-05 |  2.710910259739164e-05 |                  0.0 |    1.4616662061308985 |
| 57996.789576979994 |   10 | 16.825998962633683 |                0.0 | 19.499347329243335 |                0.0 |   5.757859566784194e-05 | -1.4309347582573354e-05 | 2.4218651816786178e-05 |  2.507576295791626e-05 |  0.45668128586543466 |                   0.0 |
|     58155.06444022 |    9 |                0.0 | 16.367094982949464 |                0.0 | 19.679663486936352 | -1.9532352846014287e-05 |   4.876796180956737e-05 |  2.516899927667097e-05 | 2.5294760092472407e-05 |                  0.0 |    0.5631450608969384 |
|     58360.79006017 |    7 |                0.0 |                0.0 |                0.0 |                0.0 |  -0.0001031860527244996 |  -6.328025272668737e-05 | 2.8284228351473217e-05 | 2.9956177958912647e-05 |                  0.0 |                   0.0 |
|     58519.29465412 |    9 |                0.0 |                0.0 |                0.0 |                0.0 | -1.9783674438945223e-05 | -1.1801408006899877e-05 |  2.404670983763071e-05 | 2.6574647870602178e-05 |                  0.0 |                   0.0 |
|     58727.95553221 |   11 |                0.0 |                0.0 |                0.0 |                0.0 |  -5.608011154651549e-05 |  -8.222919966610798e-05 | 2.2926521550019474e-05 | 2.4075364279228377e-05 |                  0.0 |                   0.0 |
|     58886.34087053 |    9 | 12.766051057944694 | 12.224215303205934 | 15.439399424554345 | 15.536783807192823 |   0.0024223686104439743 |    0.002214555032458044 | 3.6623137052387605e-05 |  3.517082236094419e-05 | 0.016414952562611156 |   0.01724329927624743 |
|     59092.12138894 |   11 |  12.20933859612901 | 11.373907939962432 | 14.882686962738662 |  14.68647644394932 |    0.004045062301128607 |    0.004846290266008741 |  4.076782080467928e-05 | 4.4905846967944385e-05 |  0.01094250118827149 |  0.010060458862811613 |
| 59250.481952860006 |   12 | 12.393841784992508 | 11.425008886454698 |  15.06719015160216 | 14.737577390441587 |   0.0034129029546429543 |   0.0046234806441028155 |  3.550298875143115e-05 | 3.9980255825629534e-05 | 0.011294455417230596 |  0.009388600183877575 |
|     59459.16409986 |   14 |  12.05620133426941 | 10.986309403174594 | 14.729549700879062 | 14.298877907161483 |    0.004657792311281672 |    0.006925463379293534 |  3.667809998620001e-05 |  4.567278240138044e-05 | 0.008549703038562078 |  0.007160328588767617 |
|     59614.60062554 |   11 | 11.992866463483974 | 10.838480342405143 | 14.666214830093626 | 14.151048846392031 |   0.0049375791213310495 |     0.00793561265714377 |   4.24371494346138e-05 | 5.3134835301273784e-05 | 0.009331607339483069 |  0.007269812289605568 |
|     59823.61755075 |   11 | 11.840718340623592 |  10.63856270863415 | 14.514066707233244 |  13.95113121262104 |    0.005680326733160291 |    0.009539981114126067 | 4.7811678864960564e-05 |  5.981628731388832e-05 | 0.009138712118603037 | 0.0068076349411989754 |
|     59981.74824642 |   10 | 11.610718880722844 | 10.407826506822571 | 14.284067247332496 |  13.72039501080946 |    0.007020581754587874 |      0.0117989129139231 |  5.501488647253881e-05 |  7.259438181819043e-05 |  0.00850807755423682 |  0.006680136481814051 |
|     60187.80630113 |   16 | 11.591082592620126 | 10.328906168219667 | 14.264430959229777 | 13.641474672206556 |    0.007148708959769237 |    0.012688495532880333 |  4.554417273767875e-05 |  6.106868057553303e-05 | 0.006917187080260184 |  0.005225558641357253 |
